"Padang-UNP-November-2013","KSUXCX","140519161322396501022856","1993","Riau - Pangean, Teluk Kuantan","Perempuan","Orang tua"
"Padang-UNP-November-2013","REJDJW","140519181034399384687980","1993","Sumatera Barat - Kabupaten Pasaman Barat","Perempuan","Orang Tua"
"Padang-UNP-November-2013","XMBCVS","140519212139234176380699","1995","Riau - Kota Pekanbaru","Perempuan","Orang tua"
"Padang-UNP-November-2013","QNHJIN","140519213808742048100008","1990","Sumatera Barat - Kota Bukittinggi","Perempuan","Orang Tua"
"Padang-UNP-November-2013","KIIACP","140519223734270158032327","1991","Sumatera Barat - Kabupaten Pasaman","Perempuan","Orang tua"
"Padang-UNP-November-2013","ODWQDU","140519232900181932396488","1991","Sumatera Barat - Batusangkar","Perempuan","Orang tua"
"Padang-UNP-November-2013","OJWPAL","140519234041453404007060","1991","Sumatera Barat - Padang Pariaman","Perempuan","Nenek"
"Padang-UNP-November-2013","JQFEMZ","140520213814601673031597","1992","Sumatera Barat - Tapus","Perempuan","Orang Tua"
"Padang-UNP-November-2013","LMLIVO","140521003951471564712049","1993","Sumatera Barat - Kabupaten Dharmasraya","Perempuan","Orang Tua"
"Padang-UNP-November-2013","WCCYOO","140521020428738703366927","1992","Sumatera Barat - Kabupaten Pesisir Selatan","Perempuan","Orang Tua"
"Padang-UNP-November-2013","UAADSB","140521022754519150518113","1995","Sumatera Barat - Kabupaten Padang Pariaman","Perempuan","Nenek"
"Padang-UNP-November-2013","ZPAJSB","140521024834689156809914","1994","Sumatera Barat - Kabupaten Padang Pariaman","Perempuan","Orang tua"
"Padang-UNP-November-2013","GYLSDY","140521101905525549956177","1992","Sumatera Barat - Kabupaten Pasaman","Perempuan","Orang tua"
"Padang-UNP-November-2013","IESDQR","140521120245276756522152","1993","Sumatera Utara - Sayurmatinggi","Perempuan","Orang Tua"
"Padang-UNP-November-2013","CQJPQF","140521121606253901570429","1995"," Sumatera Barat - Kabupaten Pasaman","Perempuan","Orang tua"
"Padang-UNP-November-2013","DJYVAB","140521122914806769892386","1991","Sumatera Barat - Inderapura","Perempuan","Orang Tua"
"Padang-UNP-November-2013","GWPLFD","140521131104469725189823","1995","Sumatera Barat - Kabupaten Dharmasraya","Perempuan","Orang Tua"
"Padang-UNP-November-2013","RQATYV","140521133207437516427272","1992","Sumatera Barat - Kota Pariaman","Perempuan","Orang Tua"
"Padang-Bung Hatta-November-2013","VVPKIL","140524111725661433811438","1992","Sumatera Barat - Kabupaten Padang Pariaman","Laki","Orang Tua"
"Padang-Bung Hatta-November-2013","USOCPL","140524161557116365344077","1994","Sumatera Barat - Kabupaten Agam","Laki","Orang Tua"
"Padang-Bung Hatta-November-2013","JUKHRP","140525001515764496963191","1991","Sumatera Barat - Kabupaten Padang Pariaman","Perempuan","Orang tua "
"Padang-Bung Hatta-November-2013","LSPQGV","140525003126620623814360","1992","Sumatera Barat - Kabupaten Padang Pariaman","Perempuan","Orang tua"
"Padang-Bung Hatta-November-2013","EMGSNV","140525020738391870859125","1995","Sumatera Barat - Kabupaten Solok","Perempuan","orang tua"
"Padang-Bung Hatta-November-2013","ARXKHK","140525173958757852999027","1993","Sumatera Barat - Kabupaten Pasaman","Laki","Bersama kedua Ortu"
"Padang-Bung Hatta-November-2013","XDOXBH","140525182226310893244389","1995","Sumatera Utara - Kota Medan","Laki","Orang Tua"
"Padang-Bung Hatta-November-2013","PKHFHR","140525192709739843938592","1996","Jambi - Muara Bungo","Laki","Orang tua"
"Padang-Bung Hatta-November-2013","KGNATI","140525194534290636880881","1995","Sumatera Barat - Kota Pariaman","Laki","Orang tua"
"Padang-Bung Hatta-November-2013","XKTNYZ","140525200921256376543594","1992","Riau - Kota Pekanbaru","Laki","Orang Tua"
"Bali-Undiksha-December-2013","MEEENQ","140525233244729431723476","Bubunan","Bali - Kabupaten Buleleng","Laki","Orang tua"
"Jambi-Unja-November-2013","HBKRGL","140528230605155019717244","1994","Jambi - Tungkal Ulu","Laki","Orang Tua"
"Bali-Undiksha-December-2013","NPIDEY","140528234854669180311448","1995","Bali - Kota Denpasar","Laki","ORANG TUA"
"Bali-Undiksha-December-2013","CLJUNW","140529000350555526816984","1995","Jawa Timur - Kabupaten Tulungagung","Perempuan","ORANG TUA"
"Padang-Bung Hatta-November-2013","AKGZSI","140602000641559720066887","1995","Sumatera Barat - Kota Bukittinggi","Laki","Orang Tua"
"Padang-Bung Hatta-November-2013","ADSYIB","140602190612727211992255","1995","DKI Jakarta - JAKARTA","Laki","ORANG TUA"
"Padang-Bung Hatta-November-2013","KURNFR","140602200235355387226631","1996","Sumatera Barat - Kabupaten Pesisir Selatan","Perempuan","ORANG TUA"
"Padang-Bung Hatta-November-2013","GDDWCU","140602202111313158947834","1994","Sumatera Barat - Kota Bukittinggi","Laki","orang tua"
"Padang-Bung Hatta-November-2013","EAZZLU","140602203923266388534148","1995","Sumatera Barat - Kota Padang","Laki","ORANG TUA"
"Padang-Bung Hatta-November-2013","XCATUK","140603124345775017562181","1995","Sumatera Barat - Kabupaten Padang Pariaman","Perempuan","Orang tua"
"Padang-Bung Hatta-November-2013","LDHYOT","140603213245678487188228","1994","Sumatera Barat - Kota Payakumbuh","Perempuan","Orang tua"
"Padang-Bung Hatta-November-2013","IFGMJN","140603235536360386467771","1995"," Sumatera Barat - Kabupaten Dharmasraya","Laki","Orang tua"
